#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
103	1.030000e-02	5.000000e+00	6.232838e-05	1.532339e-06	1.031508e-05	1.000000e+00	9.740180e+01
104	1.040000e-02	5.000000e+00	6.353595e-05	1.588676e-06	1.062312e-05	1.000000e+00	9.887215e+01
105	1.050000e-02	5.000000e+00	6.642086e-05	1.696171e-06	1.136178e-05	1.000000e+00	1.003401e+02
106	1.060000e-02	5.000000e+00	6.754542e-05	1.788233e-06	1.179277e-05	1.000000e+00	1.018079e+02
107	1.070000e-02	5.000000e+00	6.794662e-05	1.804482e-06	1.193461e-05	1.000000e+00	1.032772e+02
108	1.080000e-02	5.000000e+00	6.986949e-05	1.869284e-06	1.233646e-05	1.000000e+00	1.047502e+02
109	1.090000e-02	5.000000e+00	7.094410e-05	2.016983e-06	1.300167e-05	1.000000e+00	1.062200e+02
110	1.100000e-02	5.000000e+00	7.489812e-05	2.158828e-06	1.386779e-05	1.000000e+00	1.076927e+02
111	1.110000e-02	5.000000e+00	7.535928e-05	2.235257e-06	1.428709e-05	1.000000e+00	1.091687e+02
112	1.120000e-02	5.000000e+00	7.783202e-05	2.309512e-06	1.481867e-05	1.000000e+00	1.106402e+02
113	1.130000e-02	5.000000e+00	8.206633e-05	2.415296e-06	1.558274e-05	1.000000e+00	1.121155e+02
114	1.140000e-02	5.000000e+00	8.368369e-05	2.478416e-06	1.597547e-05	1.000000e+00	1.136104e+02
115	1.150000e-02	5.000000e+00	8.644308e-05	2.576130e-06	1.660753e-05	1.000000e+00	1.150877e+02
116	1.160000e-02	5.000000e+00	9.319737e-05	2.792371e-06	1.797280e-05	1.000000e+00	1.165666e+02
117	1.170000e-02	5.000000e+00	9.713165e-05	2.997987e-06	1.904643e-05	1.000000e+00	1.180439e+02
118	1.180000e-02	6.000000e+00	5.091783e-05	1.533807e-06	9.741992e-06	1.000000e+00	1.197520e+02
119	1.190000e-02	6.000000e+00	5.001650e-05	1.579794e-06	9.875771e-06	1.000000e+00	1.214585e+02
120	1.200000e-02	6.000000e+00	5.432160e-05	1.792617e-06	1.105128e-05	1.000000e+00	1.231662e+02
121	1.210000e-02	6.000000e+00	5.469439e-05	1.860762e-06	1.142509e-05	1.000000e+00	1.248717e+02
122	1.220000e-02	6.000000e+00	5.839580e-05	2.018029e-06	1.221947e-05	1.000000e+00	1.265832e+02
123	1.230000e-02	6.000000e+00	5.953747e-05	2.061125e-06	1.255185e-05	1.000000e+00	1.282906e+02
124	1.240000e-02	6.000000e+00	6.531233e-05	2.236528e-06	1.359970e-05	1.000000e+00	1.300020e+02
125	1.250000e-02	6.000000e+00	6.819639e-05	2.383416e-06	1.435854e-05	1.000000e+00	1.317167e+02
126	1.260000e-02	6.000000e+00	7.161978e-05	2.574704e-06	1.528697e-05	1.000000e+00	1.334325e+02
127	1.270000e-02	6.000000e+00	7.453982e-05	2.674598e-06	1.590285e-05	1.000000e+00	1.351472e+02
128	1.280000e-02	6.000000e+00	7.614537e-05	2.838283e-06	1.665432e-05	1.000000e+00	1.368657e+02
129	1.290000e-02	6.000000e+00	7.854882e-05	2.933043e-06	1.722443e-05	1.000000e+00	1.385824e+02
130	1.300000e-02	6.000000e+00	8.120866e-05	3.086421e-06	1.806966e-05	1.000000e+00	1.403004e+02
131	1.310000e-02	6.000000e+00	8.444035e-05	3.275914e-06	1.901763e-05	1.000000e+00	1.420181e+02
132	1.320000e-02	6.000000e+00	8.667954e-05	3.405565e-06	1.970921e-05	1.000000e+00	1.437401e+02
133	1.330000e-02	6.000000e+00	9.051473e-05	3.617829e-06	2.075676e-05	1.000000e+00	1.454605e+02
134	1.340000e-02	6.000000e+00	9.334458e-05	3.808913e-06	2.176677e-05	1.000000e+00	1.471867e+02
135	1.350000e-02	6.000000e+00	9.655858e-05	4.039421e-06	2.287118e-05	1.000000e+00	1.489062e+02
136	1.360000e-02	6.000000e+00	9.851465e-05	4.177381e-06	2.356303e-05	1.000000e+00	1.506338e+02
137	1.370000e-02	7.000000e+00	5.520903e-05	2.302534e-06	1.289480e-05	1.000000e+00	1.525889e+02
138	1.380000e-02	7.000000e+00	5.587293e-05	2.340939e-06	1.314657e-05	1.000000e+00	1.545390e+02
139	1.390000e-02	7.000000e+00	5.875950e-05	2.465903e-06	1.382356e-05	1.000000e+00	1.564959e+02
140	1.400000e-02	7.000000e+00	6.127122e-05	2.594368e-06	1.447535e-05	1.000000e+00	1.584552e+02
141	1.410000e-02	7.000000e+00	6.460555e-05	2.721519e-06	1.519660e-05	1.000000e+00	1.604159e+02
142	1.420000e-02	7.000000e+00	6.571254e-05	2.836196e-06	1.576792e-05	1.000000e+00	1.623741e+02
143	1.430000e-02	7.000000e+00	6.801052e-05	2.949654e-06	1.639937e-05	1.000000e+00	1.643383e+02
144	1.440000e-02	7.000000e+00	7.044082e-05	3.101785e-06	1.713978e-05	1.000000e+00	1.663045e+02
145	1.450000e-02	7.000000e+00	7.375501e-05	3.267381e-06	1.799312e-05	1.000000e+00	1.682681e+02
146	1.460000e-02	7.000000e+00	7.610842e-05	3.447512e-06	1.878896e-05	1.000000e+00	1.702304e+02
147	1.470000e-02	7.000000e+00	7.812210e-05	3.589164e-06	1.946963e-05	1.000000e+00	1.721966e+02
148	1.480000e-02	7.000000e+00	8.061473e-05	3.723239e-06	2.021474e-05	1.000000e+00	1.741631e+02
149	1.490000e-02	7.000000e+00	8.409004e-05	3.909775e-06	2.116255e-05	1.000000e+00	1.761303e+02
150	1.500000e-02	7.000000e+00	8.672360e-05	4.087719e-06	2.203948e-05	1.000000e+00	1.780977e+02
151	1.510000e-02	7.000000e+00	8.840432e-05	4.276418e-06	2.285948e-05	1.000000e+00	1.800618e+02
152	1.520000e-02	7.000000e+00	9.175634e-05	4.469270e-06	2.388990e-05	1.000000e+00	1.820262e+02
153	1.530000e-02	7.000000e+00	9.517268e-05	4.680333e-06	2.501840e-05	1.000000e+00	1.839994e+02
154	1.540000e-02	7.000000e+00	9.853443e-05	4.898984e-06	2.613361e-05	1.000000e+00	1.859668e+02
155	1.550000e-02	8.000000e+00	6.117493e-05	3.051093e-06	1.598741e-05	1.000000e+00	1.881654e+02
156	1.560000e-02	8.000000e+00	6.224787e-05	3.134181e-06	1.644607e-05	1.000000e+00	1.903668e+02
157	1.570000e-02	8.000000e+00	6.542913e-05	3.322605e-06	1.742909e-05	1.000000e+00	1.925726e+02
158	1.580000e-02	8.000000e+00	6.662011e-05	3.431952e-06	1.800817e-05	1.000000e+00	1.947762e+02
159	1.590000e-02	8.000000e+00	6.917588e-05	3.633734e-06	1.893863e-05	1.000000e+00	1.969826e+02
160	1.600000e-02	8.000000e+00	7.028507e-05	3.783698e-06	1.960664e-05	1.000000e+00	1.991870e+02
161	1.610000e-02	8.000000e+00	7.235452e-05	3.957807e-06	2.045527e-05	1.000000e+00	2.013938e+02
162	1.620000e-02	8.000000e+00	7.460473e-05	4.126480e-06	2.128511e-05	1.000000e+00	2.036046e+02
163	1.630000e-02	8.000000e+00	7.610135e-05	4.266781e-06	2.199836e-05	1.000000e+00	2.058110e+02
164	1.640000e-02	8.000000e+00	7.839540e-05	4.446473e-06	2.288857e-05	1.000000e+00	2.080219e+02
165	1.650000e-02	8.000000e+00	8.050750e-05	4.616112e-06	2.375763e-05	1.000000e+00	2.102348e+02
166	1.660000e-02	8.000000e+00	8.447503e-05	4.899714e-06	2.511818e-05	1.000000e+00	2.124444e+02
167	1.670000e-02	8.000000e+00	8.647647e-05	5.092714e-06	2.607377e-05	1.000000e+00	2.146595e+02
168	1.680000e-02	8.000000e+00	8.972779e-05	5.297160e-06	2.714159e-05	1.000000e+00	2.168770e+02
