#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
76	7.600000e-03	-3.300000e-05	-6.182405e+04	6.182367e+04	1.013582e+00	1.013602e+00	1.964271e-05
77	7.700000e-03	-3.350000e-05	-6.276016e+04	6.276045e+04	1.044624e+00	1.044644e+00	1.964994e-05
78	7.800000e-03	-3.400000e-05	-6.369694e+04	6.369684e+04	1.076134e+00	1.076154e+00	1.962860e-05
79	7.900000e-03	-3.450000e-05	-6.463338e+04	6.463328e+04	1.108112e+00	1.108132e+00	1.965327e-05
80	8.000000e-03	-3.500000e-05	-6.556968e+04	6.556991e+04	1.140559e+00	1.140579e+00	1.963609e-05
81	8.100000e-03	-3.550000e-05	-6.650633e+04	6.650609e+04	1.173474e+00	1.173494e+00	1.964033e-05
82	8.200000e-03	-3.600000e-05	-6.744249e+04	6.744263e+04	1.206857e+00	1.206877e+00	1.964921e-05
83	8.300000e-03	-3.650000e-05	-6.837888e+04	6.837889e+04	1.240708e+00	1.240729e+00	1.963256e-05
84	8.400000e-03	-3.700000e-05	-6.931515e+04	6.931501e+04	1.275028e+00	1.275048e+00	1.964842e-05
85	8.500000e-03	-3.750000e-05	-7.025111e+04	7.025131e+04	1.309815e+00	1.309836e+00	1.964052e-05
86	8.600000e-03	-3.800000e-05	-7.118729e+04	7.118713e+04	1.345071e+00	1.345091e+00	1.963823e-05
87	8.700000e-03	-3.850000e-05	-7.212308e+04	7.212314e+04	1.380795e+00	1.380815e+00	1.964747e-05
88	8.800000e-03	-3.900000e-05	-7.305883e+04	7.305889e+04	1.416986e+00	1.417006e+00	1.963543e-05
89	8.900000e-03	-3.950000e-05	-7.399455e+04	7.399441e+04	1.453646e+00	1.453666e+00	1.964455e-05
90	9.000000e-03	-4.000000e-05	-7.492988e+04	7.493004e+04	1.490773e+00	1.490793e+00	1.964333e-05
91	9.100000e-03	-4.050000e-05	-7.586531e+04	7.586522e+04	1.528368e+00	1.528388e+00	1.963573e-05
92	9.200000e-03	-4.100000e-05	-7.680042e+04	7.680041e+04	1.566430e+00	1.566450e+00	1.964744e-05
93	9.300000e-03	-4.150000e-05	-7.773523e+04	7.773534e+04	1.604960e+00	1.604980e+00	1.963586e-05
