#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
113	6.780000e-03	1.000000e+00	0.000000e+00	1.043924e-15	7.069130e-10	1.000000e+00	8.313899e+01
114	6.840000e-03	1.000000e+00	0.000000e+00	1.047445e-07	6.637971e-06	1.000000e+00	8.377671e+01
115	6.900000e-03	1.000000e+00	0.000000e+00	2.372145e-07	9.977383e-06	1.000000e+00	8.441109e+01
116	6.960000e-03	1.000000e+00	0.000000e+00	3.020753e-07	1.120528e-05	1.000000e+00	8.504639e+01
117	7.020000e-03	1.000000e+00	0.000000e+00	2.992421e-07	1.110129e-05	1.000000e+00	8.567636e+01
118	7.080000e-03	1.000000e+00	0.000000e+00	2.964970e-07	1.099959e-05	1.000000e+00	8.631588e+01
119	7.140000e-03	1.000000e+00	0.000000e+00	1.122287e-06	2.748393e-05	1.000000e+00	8.695387e+01
120	7.200000e-03	1.000000e+00	0.000000e+00	1.693376e-06	3.534893e-05	1.000000e+00	8.759034e+01
121	7.260000e-03	1.000000e+00	0.000000e+00	1.738462e-06	3.555866e-05	1.000000e+00	8.821963e+01
122	7.320000e-03	1.000000e+00	0.000000e+00	2.224112e-06	3.967097e-05	1.000000e+00	8.885826e+01
123	7.380000e-03	1.000000e+00	0.000000e+00	3.369632e-06	5.267155e-05	1.000000e+00	8.949427e+01
124	7.440000e-03	1.000000e+00	0.000000e+00	3.530310e-06	5.487713e-05	1.000000e+00	9.013038e+01
125	7.500000e-03	1.000000e+00	0.000000e+00	4.315290e-06	6.181702e-05	1.000000e+00	9.075979e+01
126	7.560000e-03	1.000000e+00	0.000000e+00	5.793305e-06	7.701069e-05	1.000000e+00	9.140135e+01
127	7.620000e-03	1.000000e+00	0.000000e+00	6.940051e-06	8.701174e-05	1.000000e+00	9.203968e+01
128	7.680000e-03	1.000000e+00	0.000000e+00	7.248186e-06	9.059851e-05	1.000000e+00	9.267758e+01
129	7.740000e-03	1.000000e+00	0.000000e+00	7.300313e-06	9.085556e-05	1.000000e+00	9.330999e+01
130	7.800000e-03	1.000000e+00	0.000000e+00	7.913951e-06	9.647374e-05	1.000000e+00	9.395141e+01
131	7.860000e-03	3.000000e+00	4.334276e-05	4.579747e-07	4.679436e-06	1.000000e+00	9.506150e+01
132	7.920000e-03	1.000000e+00	0.000000e+00	5.881209e-06	8.071860e-05	1.000000e+00	9.569231e+01
133	7.980000e-03	3.000000e+00	5.795678e-05	5.823194e-07	5.981341e-06	1.000000e+00	9.680259e+01
134	8.040000e-03	1.000000e+00	0.000000e+00	7.311122e-06	8.724588e-05	1.000000e+00	9.744299e+01
135	8.100000e-03	4.000000e+00	3.358437e-05	3.510435e-07	3.318691e-06	1.000000e+00	9.879636e+01
136	8.160000e-03	1.000000e+00	0.000000e+00	7.441968e-06	9.146449e-05	1.000000e+00	9.943795e+01
137	8.220000e-03	4.000000e+00	3.432481e-05	3.596280e-07	3.396585e-06	1.000000e+00	1.007847e+02
138	8.280000e-03	1.000000e+00	0.000000e+00	8.468569e-06	9.890022e-05	1.000000e+00	1.014204e+02
139	8.340000e-03	4.000000e+00	3.416388e-05	3.710977e-07	3.439279e-06	1.000000e+00	1.027730e+02
140	8.400000e-03	3.000000e+00	4.250440e-05	4.710401e-07	4.465094e-06	1.000000e+00	1.038794e+02
141	8.460000e-03	3.000000e+00	9.518552e-05	1.052315e-06	9.890736e-06	1.000000e+00	1.049938e+02
142	8.520000e-03	3.000000e+00	6.741286e-05	7.522394e-07	7.133474e-06	1.000000e+00	1.061046e+02
143	8.580000e-03	3.000000e+00	8.842566e-05	1.018711e-06	9.533177e-06	1.000000e+00	1.072152e+02
144	8.640000e-03	3.000000e+00	8.253389e-05	1.028896e-06	9.268323e-06	1.000000e+00	1.083291e+02
145	8.700000e-03	4.000000e+00	3.549387e-05	5.233287e-07	4.241161e-06	1.000000e+00	1.096725e+02
146	8.760000e-03	3.000000e+00	9.993429e-05	1.508843e-06	1.220943e-05	1.000000e+00	1.107863e+02
147	8.820000e-03	4.000000e+00	3.851851e-05	5.995637e-07	4.751952e-06	1.000000e+00	1.121311e+02
148	8.880000e-03	4.000000e+00	4.143738e-05	6.574383e-07	5.203419e-06	1.000000e+00	1.134868e+02
149	8.940000e-03	4.000000e+00	4.124325e-05	6.532654e-07	5.168443e-06	1.000000e+00	1.148307e+02
150	9.000000e-03	4.000000e+00	4.674367e-05	7.675231e-07	5.970118e-06	1.000000e+00	1.161875e+02
151	9.060000e-03	4.000000e+00	4.500742e-05	7.491314e-07	5.803008e-06	1.000000e+00	1.175302e+02
152	9.120000e-03	4.000000e+00	4.780996e-05	8.304238e-07	6.303413e-06	1.000000e+00	1.188874e+02
153	9.180000e-03	4.000000e+00	4.634799e-05	8.046446e-07	6.120976e-06	1.000000e+00	1.202338e+02
154	9.240000e-03	4.000000e+00	4.782639e-05	8.340816e-07	6.324132e-06	1.000000e+00	1.215930e+02
155	9.300000e-03	4.000000e+00	4.709295e-05	8.798004e-07	6.449253e-06	1.000000e+00	1.229364e+02
156	9.360000e-03	4.000000e+00	4.855557e-05	9.578447e-07	6.916608e-06	1.000000e+00	1.242942e+02
157	9.420000e-03	4.000000e+00	4.798023e-05	9.476443e-07	6.865728e-06	1.000000e+00	1.256424e+02
158	9.480000e-03	4.000000e+00	4.861867e-05	9.647444e-07	6.985789e-06	1.000000e+00	1.269979e+02
159	9.540000e-03	4.000000e+00	4.900228e-05	1.056727e-06	7.361951e-06	1.000000e+00	1.283434e+02
160	9.600000e-03	4.000000e+00	4.910355e-05	1.208026e-06	7.850057e-06	1.000000e+00	1.296983e+02
161	9.660000e-03	4.000000e+00	5.042783e-05	1.335479e-06	8.498063e-06	1.000000e+00	1.310462e+02
162	9.720000e-03	4.000000e+00	5.121470e-05	1.539689e-06	9.268757e-06	1.000000e+00	1.324085e+02
163	9.780000e-03	4.000000e+00	5.337028e-05	1.572638e-06	9.691855e-06	1.000000e+00	1.337535e+02
164	9.840000e-03	4.000000e+00	5.425997e-05	1.626479e-06	9.946880e-06	1.000000e+00	1.351069e+02
165	9.900000e-03	4.000000e+00	5.449752e-05	1.615694e-06	9.962910e-06	1.000000e+00	1.364523e+02
166	9.960000e-03	4.000000e+00	5.512771e-05	1.629778e-06	1.006179e-05	1.000000e+00	1.378127e+02
167	1.002000e-02	4.000000e+00	5.527097e-05	1.637408e-06	1.013530e-05	1.000000e+00	1.391624e+02
168	1.008000e-02	4.000000e+00	5.768574e-05	1.714083e-06	1.062304e-05	1.000000e+00	1.405232e+02
169	1.014000e-02	4.000000e+00	5.928562e-05	1.779845e-06	1.108064e-05	1.000000e+00	1.418619e+02
170	1.020000e-02	4.000000e+00	6.048919e-05	1.818092e-06	1.139970e-05	1.000000e+00	1.432161e+02
171	1.026000e-02	4.000000e+00	6.113025e-05	1.871126e-06	1.164245e-05	1.000000e+00	1.445632e+02
172	1.032000e-02	4.000000e+00	6.224001e-05	1.920238e-06	1.196049e-05	1.000000e+00	1.459074e+02
173	1.038000e-02	4.000000e+00	6.322916e-05	1.957212e-06	1.219354e-05	1.000000e+00	1.472392e+02
174	1.044000e-02	4.000000e+00	6.452307e-05	2.003020e-06	1.248686e-05	1.000000e+00	1.485835e+02
175	1.050000e-02	4.000000e+00	6.629534e-05	2.103046e-06	1.307210e-05	1.000000e+00	1.499201e+02
176	1.056000e-02	4.000000e+00	6.712993e-05	2.220127e-06	1.354191e-05	1.000000e+00	1.512639e+02
177	1.062000e-02	4.000000e+00	6.837389e-05	2.333517e-06	1.406846e-05	1.000000e+00	1.525959e+02
178	1.068000e-02	4.000000e+00	6.968085e-05	2.405741e-06	1.454030e-05	1.000000e+00	1.539409e+02
179	1.074000e-02	4.000000e+00	7.048407e-05	2.419916e-06	1.466886e-05	1.000000e+00	1.552797e+02
180	1.080000e-02	4.000000e+00	7.171768e-05	2.455032e-06	1.492873e-05	1.000000e+00	1.566261e+02
181	1.086000e-02	4.000000e+00	7.238887e-05	2.490860e-06	1.515900e-05	1.000000e+00	1.579599e+02
182	1.092000e-02	4.000000e+00	7.408960e-05	2.535744e-06	1.552257e-05	1.000000e+00	1.593045e+02
183	1.098000e-02	4.000000e+00	7.546744e-05	2.576016e-06	1.578574e-05	1.000000e+00	1.606441e+02
184	1.104000e-02	4.000000e+00	7.753312e-05	2.644043e-06	1.625427e-05	1.000000e+00	1.619883e+02
185	1.110000e-02	4.000000e+00	7.960023e-05	2.758991e-06	1.689934e-05	1.000000e+00	1.633217e+02
186	1.116000e-02	4.000000e+00	8.105184e-05	2.834161e-06	1.730708e-05	1.000000e+00	1.646655e+02
187	1.122000e-02	4.000000e+00	8.353151e-05	2.921785e-06	1.787222e-05	1.000000e+00	1.660067e+02
188	1.128000e-02	4.000000e+00	8.423978e-05	3.003276e-06	1.828479e-05	1.000000e+00	1.673571e+02
189	1.134000e-02	4.000000e+00	8.569567e-05	3.068704e-06	1.866301e-05	1.000000e+00	1.686944e+02
190	1.140000e-02	4.000000e+00	8.648415e-05	3.139309e-06	1.906396e-05	1.000000e+00	1.700416e+02
191	1.146000e-02	4.000000e+00	9.022786e-05	3.200922e-06	1.951439e-05	1.000000e+00	1.713788e+02
192	1.152000e-02	4.000000e+00	9.035456e-05	3.289371e-06	1.990147e-05	1.000000e+00	1.727257e+02
193	1.158000e-02	4.000000e+00	9.300232e-05	3.407318e-06	2.063958e-05	1.000000e+00	1.740609e+02
194	1.164000e-02	4.000000e+00	9.625795e-05	3.539987e-06	2.141345e-05	1.000000e+00	1.754099e+02
195	1.170000e-02	4.000000e+00	9.789674e-05	3.658491e-06	2.204718e-05	1.000000e+00	1.767497e+02
196	1.176000e-02	4.000000e+00	9.977210e-05	3.742422e-06	2.254461e-05	1.000000e+00	1.780990e+02
197	1.182000e-02	5.000000e+00	4.433338e-05	1.698011e-06	1.009838e-05	1.000000e+00	1.796724e+02
198	1.188000e-02	5.000000e+00	4.416425e-05	1.712245e-06	1.017366e-05	1.000000e+00	1.812584e+02
199	1.194000e-02	5.000000e+00	4.578709e-05	1.795065e-06	1.064338e-05	1.000000e+00	1.828381e+02
200	1.200000e-02	5.000000e+00	4.703432e-05	1.836031e-06	1.095430e-05	1.000000e+00	1.844189e+02
201	1.206000e-02	5.000000e+00	4.954852e-05	1.937263e-06	1.150302e-05	1.000000e+00	1.860059e+02
202	1.212000e-02	5.000000e+00	5.224259e-05	2.023985e-06	1.205386e-05	1.000000e+00	1.875834e+02
203	1.218000e-02	5.000000e+00	5.274810e-05	2.087391e-06	1.237424e-05	1.000000e+00	1.891707e+02
204	1.224000e-02	5.000000e+00	5.433688e-05	2.192276e-06	1.291440e-05	1.000000e+00	1.907449e+02
205	1.230000e-02	5.000000e+00	5.523196e-05	2.238773e-06	1.319022e-05	1.000000e+00	1.923298e+02
206	1.236000e-02	5.000000e+00	5.648213e-05	2.282447e-06	1.347502e-05	1.000000e+00	1.939153e+02
207	1.242000e-02	5.000000e+00	5.715098e-05	2.321877e-06	1.370985e-05	1.000000e+00	1.954953e+02
208	1.248000e-02	5.000000e+00	5.826062e-05	2.390608e-06	1.405878e-05	1.000000e+00	1.970842e+02
