#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
78	4.680000e-03	-1.840000e-05	-3.485931e+04	3.485784e+04	3.206933e-01	3.207132e-01	1.969899e-05
79	4.740000e-03	-1.870000e-05	-3.542525e+04	3.542509e+04	3.312360e-01	3.312559e-01	1.973268e-05
80	4.800000e-03	-1.900000e-05	-3.599503e+04	3.599673e+04	3.419491e-01	3.419690e-01	1.964819e-05
81	4.860000e-03	-1.930000e-05	-3.656296e+04	3.656117e+04	3.528328e-01	3.528527e-01	1.969139e-05
82	4.920000e-03	-1.960000e-05	-3.713141e+04	3.713187e+04	3.638869e-01	3.639068e-01	1.971029e-05
83	4.980000e-03	-1.990000e-05	-3.769945e+04	3.770050e+04	3.751115e-01	3.751314e-01	1.968787e-05
84	5.040000e-03	-2.020000e-05	-3.826791e+04	3.826649e+04	3.865067e-01	3.865266e-01	1.964802e-05
85	5.100000e-03	-2.050000e-05	-3.883707e+04	3.883748e+04	3.980723e-01	3.980923e-01	1.974668e-05
86	5.160000e-03	-2.080000e-05	-3.940344e+04	3.940434e+04	4.098085e-01	4.098284e-01	1.966678e-05
87	5.220000e-03	-2.110000e-05	-3.997398e+04	3.997272e+04	4.217151e-01	4.217350e-01	1.964650e-05
88	5.280000e-03	-2.140000e-05	-4.054130e+04	4.054165e+04	4.337923e-01	4.338123e-01	1.977227e-05
89	5.340000e-03	-2.170000e-05	-4.110867e+04	4.110960e+04	4.460399e-01	4.460598e-01	1.962483e-05
90	5.400000e-03	-2.200000e-05	-4.167941e+04	4.167804e+04	4.584581e-01	4.584780e-01	1.968898e-05
91	5.460000e-03	-2.230000e-05	-4.224543e+04	4.224599e+04	4.710467e-01	4.710667e-01	1.974665e-05
92	5.520000e-03	-2.260000e-05	-4.281466e+04	4.281540e+04	4.838059e-01	4.838257e-01	1.962318e-05
93	5.580000e-03	-2.290000e-05	-4.338371e+04	4.338237e+04	4.967355e-01	4.967555e-01	1.971472e-05
94	5.640000e-03	-2.320000e-05	-4.395065e+04	4.395136e+04	5.098357e-01	5.098556e-01	1.971094e-05
95	5.700000e-03	-2.350000e-05	-4.451996e+04	4.452048e+04	5.231064e-01	5.231262e-01	1.965277e-05
96	5.760000e-03	-2.380000e-05	-4.508812e+04	4.508691e+04	5.365475e-01	5.365674e-01	1.970073e-05
97	5.820000e-03	-2.410000e-05	-4.565630e+04	4.565707e+04	5.501592e-01	5.501791e-01	1.970882e-05
98	5.880000e-03	-2.440000e-05	-4.622449e+04	4.622482e+04	5.639413e-01	5.639612e-01	1.966540e-05
99	5.940000e-03	-2.470000e-05	-4.679335e+04	4.679229e+04	5.778940e-01	5.779139e-01	1.968373e-05
100	6.000000e-03	-2.500000e-05	-4.736136e+04	4.736214e+04	5.920172e-01	5.920371e-01	1.972620e-05
101	6.060000e-03	-2.530000e-05	-4.792921e+04	4.792943e+04	6.063108e-01	6.063307e-01	1.965052e-05
102	6.120000e-03	-2.560000e-05	-4.849880e+04	4.849784e+04	6.207750e-01	6.207949e-01	1.969231e-05
103	6.180000e-03	-2.590000e-05	-4.906592e+04	4.906669e+04	6.354096e-01	6.354296e-01	1.972790e-05
104	6.240000e-03	-2.620000e-05	-4.963452e+04	4.963467e+04	6.502148e-01	6.502347e-01	1.963731e-05
105	6.300000e-03	-2.650000e-05	-5.020378e+04	5.020286e+04	6.651905e-01	6.652104e-01	1.971260e-05
106	6.360000e-03	-2.680000e-05	-5.077069e+04	5.077150e+04	6.803366e-01	6.803566e-01	1.970971e-05
107	6.420000e-03	-2.710000e-05	-5.133994e+04	5.133997e+04	6.956533e-01	6.956732e-01	1.964453e-05
108	6.480000e-03	-2.740000e-05	-5.190840e+04	5.190757e+04	7.111405e-01	7.111604e-01	1.971908e-05
109	6.540000e-03	-2.770000e-05	-5.247590e+04	5.247676e+04	7.267982e-01	7.268181e-01	1.969426e-05
110	6.600000e-03	-2.800000e-05	-5.304499e+04	5.304486e+04	7.426263e-01	7.426462e-01	1.966029e-05
111	6.660000e-03	-2.830000e-05	-5.361319e+04	5.361251e+04	7.586250e-01	7.586449e-01	1.970996e-05
112	6.720000e-03	-2.860000e-05	-5.418119e+04	5.418200e+04	7.747942e-01	7.748141e-01	1.969500e-05
113	6.780000e-03	-2.890000e-05	-5.474976e+04	5.474956e+04	7.911338e-01	7.911537e-01	1.966508e-05
114	6.840000e-03	-2.920000e-05	-5.531832e+04	5.531777e+04	8.076440e-01	8.076639e-01	1.970345e-05
115	6.900000e-03	-2.950000e-05	-5.588618e+04	5.588693e+04	8.243247e-01	8.243446e-01	1.970144e-05
116	6.960000e-03	-2.980000e-05	-5.645469e+04	5.645447e+04	8.411759e-01	8.411957e-01	1.965873e-05
117	7.020000e-03	-3.010000e-05	-5.702349e+04	5.702299e+04	8.581975e-01	8.582175e-01	1.970935e-05
118	7.080000e-03	-3.040000e-05	-5.759097e+04	5.759172e+04	8.753897e-01	8.754096e-01	1.969830e-05
119	7.140000e-03	-3.070000e-05	-5.815990e+04	5.815960e+04	8.927524e-01	8.927723e-01	1.965632e-05
120	7.200000e-03	-3.100000e-05	-5.872839e+04	5.872797e+04	9.102856e-01	9.103055e-01	1.971796e-05
121	7.260000e-03	-3.130000e-05	-5.929592e+04	5.929666e+04	9.279893e-01	9.280092e-01	1.968750e-05
122	7.320000e-03	-3.160000e-05	-5.986506e+04	5.986468e+04	9.458634e-01	9.458833e-01	1.966417e-05
123	7.380000e-03	-3.190000e-05	-6.043315e+04	6.043285e+04	9.639081e-01	9.639280e-01	1.971743e-05
124	7.440000e-03	-3.220000e-05	-6.100106e+04	6.100174e+04	9.821233e-01	9.821432e-01	1.968139e-05
125	7.500000e-03	-3.250000e-05	-6.156998e+04	6.156957e+04	1.000509e+00	1.000529e+00	1.967308e-05
126	7.560000e-03	-3.280000e-05	-6.213803e+04	6.213782e+04	1.019065e+00	1.019085e+00	1.971107e-05
127	7.620000e-03	-3.310000e-05	-6.270612e+04	6.270672e+04	1.037792e+00	1.037812e+00	1.968319e-05
128	7.680000e-03	-3.340000e-05	-6.327476e+04	6.327434e+04	1.056689e+00	1.056709e+00	1.967511e-05
129	7.740000e-03	-3.370000e-05	-6.384299e+04	6.384284e+04	1.075756e+00	1.075776e+00	1.970853e-05
130	7.800000e-03	-3.400000e-05	-6.441096e+04	6.441152e+04	1.094995e+00	1.095015e+00	1.968512e-05
131	7.860000e-03	-3.430000e-05	-6.497957e+04	6.497913e+04	1.114403e+00	1.114423e+00	1.967395e-05
132	7.920000e-03	-3.460000e-05	-6.554789e+04	6.554780e+04	1.133982e+00	1.134002e+00	1.970940e-05
133	7.980000e-03	-3.490000e-05	-6.611565e+04	6.611616e+04	1.153732e+00	1.153752e+00	1.968532e-05
134	8.040000e-03	-3.520000e-05	-6.668449e+04	6.668404e+04	1.173652e+00	1.173672e+00	1.967181e-05
135	8.100000e-03	-3.550000e-05	-6.725249e+04	6.725246e+04	1.193742e+00	1.193762e+00	1.971696e-05
136	8.160000e-03	-3.580000e-05	-6.782038e+04	6.782085e+04	1.214003e+00	1.214023e+00	1.967465e-05
137	8.220000e-03	-3.610000e-05	-6.838918e+04	6.838872e+04	1.234435e+00	1.234455e+00	1.968347e-05
138	8.280000e-03	-3.640000e-05	-6.895700e+04	6.895702e+04	1.255037e+00	1.255057e+00	1.970950e-05
139	8.340000e-03	-3.670000e-05	-6.952503e+04	6.952547e+04	1.275809e+00	1.275829e+00	1.967894e-05
140	8.400000e-03	-3.700000e-05	-7.009355e+04	7.009305e+04	1.296752e+00	1.296772e+00	1.968429e-05
141	8.460000e-03	-3.730000e-05	-7.066148e+04	7.066157e+04	1.317865e+00	1.317885e+00	1.970924e-05
142	8.520000e-03	-3.760000e-05	-7.122939e+04	7.122978e+04	1.339149e+00	1.339169e+00	1.967927e-05
143	8.580000e-03	-3.790000e-05	-7.179790e+04	7.179740e+04	1.360603e+00	1.360623e+00	1.968378e-05
144	8.640000e-03	-3.820000e-05	-7.236571e+04	7.236587e+04	1.382227e+00	1.382247e+00	1.970985e-05
145	8.700000e-03	-3.850000e-05	-7.293355e+04	7.293385e+04	1.404022e+00	1.404042e+00	1.967605e-05
146	8.760000e-03	-3.880000e-05	-7.350202e+04	7.350155e+04	1.425987e+00	1.426007e+00	1.968594e-05
147	8.820000e-03	-3.910000e-05	-7.406960e+04	7.406980e+04	1.448123e+00	1.448143e+00	1.970874e-05
148	8.880000e-03	-3.940000e-05	-7.463749e+04	7.463772e+04	1.470429e+00	1.470449e+00	1.967303e-05
149	8.940000e-03	-3.970000e-05	-7.520582e+04	7.520539e+04	1.492906e+00	1.492926e+00	1.969095e-05
150	9.000000e-03	-4.000000e-05	-7.577326e+04	7.577347e+04	1.515553e+00	1.515573e+00	1.970425e-05
151	9.060000e-03	-4.030000e-05	-7.634122e+04	7.634141e+04	1.538370e+00	1.538390e+00	1.967389e-05
152	9.120000e-03	-4.060000e-05	-7.690925e+04	7.690885e+04	1.561357e+00	1.561377e+00	1.969456e-05
153	9.180000e-03	-4.090000e-05	-7.747663e+04	7.747686e+04	1.584515e+00	1.584535e+00	1.970043e-05
154	9.240000e-03	-4.120000e-05	-7.804447e+04	7.804462e+04	1.607843e+00	1.607863e+00	1.967830e-05
155	9.300000e-03	-4.150000e-05	-7.861221e+04	7.861184e+04	1.631342e+00	1.631362e+00	1.969355e-05
156	9.360000e-03	-4.180000e-05	-7.917961e+04	7.917986e+04	1.655011e+00	1.655031e+00	1.969961e-05
157	9.420000e-03	-4.210000e-05	-7.974713e+04	7.974722e+04	1.678850e+00	1.678870e+00	1.967957e-05
158	9.480000e-03	-4.240000e-05	-8.031482e+04	8.031449e+04	1.702859e+00	1.702879e+00	1.969211e-05
159	9.540000e-03	-4.270000e-05	-8.088199e+04	8.088223e+04	1.727038e+00	1.727059e+00	1.970270e-05
160	9.600000e-03	-4.300000e-05	-8.144929e+04	8.144938e+04	1.751388e+00	1.751408e+00	1.967829e-05
161	9.660000e-03	-4.330000e-05	-8.201684e+04	8.201653e+04	1.775908e+00	1.775928e+00	1.969586e-05
162	9.720000e-03	-4.360000e-05	-8.258360e+04	8.258385e+04	1.800598e+00	1.800618e+00	1.970226e-05
163	9.780000e-03	-4.390000e-05	-8.315079e+04	8.315085e+04	1.825458e+00	1.825478e+00	1.967872e-05
164	9.840000e-03	-4.420000e-05	-8.371793e+04	8.371763e+04	1.850489e+00	1.850509e+00	1.969984e-05
165	9.900000e-03	-4.450000e-05	-8.428450e+04	8.428475e+04	1.875689e+00	1.875709e+00	1.970020e-05
