#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
83	3.320000e-03	1.000000e+00	0.000000e+00	1.013081e-15	4.463230e-09	1.000000e+00	5.298008e+01
84	3.360000e-03	1.000000e+00	0.000000e+00	1.012686e-15	2.177014e-09	1.000000e+00	5.354134e+01
85	3.400000e-03	1.000000e+00	0.000000e+00	1.078880e-15	3.998110e-09	1.000000e+00	5.410264e+01
86	3.440000e-03	1.000000e+00	0.000000e+00	1.058939e-15	2.286462e-09	1.000000e+00	5.466710e+01
87	3.480000e-03	1.000000e+00	0.000000e+00	1.129066e-15	3.131184e-09	1.000000e+00	5.523101e+01
88	3.520000e-03	1.000000e+00	0.000000e+00	1.052884e-15	3.956344e-09	1.000000e+00	5.579163e+01
89	3.560000e-03	1.000000e+00	0.000000e+00	1.058631e-15	2.184007e-09	1.000000e+00	5.635216e+01
90	3.600000e-03	1.000000e+00	0.000000e+00	1.032999e-15	2.008448e-09	1.000000e+00	5.691621e+01
91	3.640000e-03	1.000000e+00	0.000000e+00	1.006994e-15	1.735047e-09	1.000000e+00	5.748510e+01
92	3.680000e-03	1.000000e+00	0.000000e+00	1.068587e-15	1.786324e-09	1.000000e+00	5.804721e+01
93	3.720000e-03	1.000000e+00	0.000000e+00	1.007983e-15	2.386107e-09	1.000000e+00	5.860987e+01
94	3.760000e-03	1.000000e+00	0.000000e+00	1.033662e-15	2.429412e-09	1.000000e+00	5.917955e+01
95	3.800000e-03	1.000000e+00	0.000000e+00	1.037829e-15	1.824872e-09	1.000000e+00	5.975916e+01
96	3.840000e-03	1.000000e+00	0.000000e+00	1.016382e-15	2.117406e-09	1.000000e+00	6.033420e+01
97	3.880000e-03	1.000000e+00	0.000000e+00	1.058511e-15	4.105302e-09	1.000000e+00	6.090450e+01
98	3.920000e-03	1.000000e+00	0.000000e+00	9.945098e-16	1.591069e-09	1.000000e+00	6.147905e+01
99	3.960000e-03	1.000000e+00	0.000000e+00	1.027398e-15	1.615570e-09	1.000000e+00	6.205989e+01
100	4.000000e-03	1.000000e+00	0.000000e+00	1.015671e-15	1.594411e-09	1.000000e+00	6.263923e+01
101	4.040000e-03	1.000000e+00	0.000000e+00	1.049047e-15	1.894129e-09	1.000000e+00	6.321605e+01
102	4.080000e-03	1.000000e+00	0.000000e+00	1.022976e-15	8.482821e-10	1.000000e+00	6.380205e+01
103	4.120000e-03	1.000000e+00	0.000000e+00	1.049059e-15	1.474559e-09	1.000000e+00	6.438798e+01
104	4.160000e-03	1.000000e+00	0.000000e+00	9.744494e-16	1.947483e-10	1.000000e+00	6.497591e+01
105	4.200000e-03	1.000000e+00	0.000000e+00	1.023201e-15	3.783436e-09	1.000000e+00	6.556081e+01
106	4.240000e-03	1.000000e+00	0.000000e+00	1.002174e-15	5.349603e-09	1.000000e+00	6.614145e+01
107	4.280000e-03	1.000000e+00	0.000000e+00	1.022748e-15	5.808382e-09	1.000000e+00	6.672030e+01
108	4.320000e-03	1.000000e+00	0.000000e+00	1.047800e-15	5.469542e-09	1.000000e+00	6.729893e+01
109	4.360000e-03	1.000000e+00	0.000000e+00	1.048161e-15	5.237251e-09	1.000000e+00	6.787469e+01
110	4.400000e-03	1.000000e+00	0.000000e+00	1.056844e-15	5.603037e-09	1.000000e+00	6.846221e+01
111	4.440000e-03	1.000000e+00	0.000000e+00	1.062277e-15	5.360070e-09	1.000000e+00	6.904921e+01
112	4.480000e-03	1.000000e+00	0.000000e+00	9.964528e-16	5.421667e-09	1.000000e+00	6.963874e+01
113	4.520000e-03	1.000000e+00	0.000000e+00	1.055398e-15	5.765791e-09	1.000000e+00	7.022595e+01
114	4.560000e-03	1.000000e+00	0.000000e+00	1.037342e-15	5.459686e-09	1.000000e+00	7.081409e+01
115	4.600000e-03	1.000000e+00	0.000000e+00	1.024593e-15	5.074173e-09	1.000000e+00	7.139953e+01
116	4.640000e-03	1.000000e+00	0.000000e+00	1.036438e-15	4.325799e-09	1.000000e+00	7.198304e+01
117	4.680000e-03	1.000000e+00	0.000000e+00	1.079461e-15	4.067014e-09	1.000000e+00	7.256890e+01
118	4.720000e-03	1.000000e+00	0.000000e+00	1.023044e-15	4.511082e-09	1.000000e+00	7.315575e+01
119	4.760000e-03	1.000000e+00	0.000000e+00	1.070981e-15	4.769046e-09	1.000000e+00	7.374395e+01
120	4.800000e-03	1.000000e+00	0.000000e+00	1.049648e-15	3.727459e-09	1.000000e+00	7.433065e+01
121	4.840000e-03	1.000000e+00	0.000000e+00	1.051118e-15	4.533178e-09	1.000000e+00	7.491622e+01
122	4.880000e-03	1.000000e+00	0.000000e+00	1.062544e-15	3.809253e-09	1.000000e+00	7.550796e+01
123	4.920000e-03	1.000000e+00	0.000000e+00	1.145628e-15	4.342327e-09	1.000000e+00	7.610620e+01
124	4.960000e-03	1.000000e+00	0.000000e+00	1.069093e-15	4.296545e-09	1.000000e+00	7.671246e+01
125	5.000000e-03	1.000000e+00	0.000000e+00	9.960377e-16	4.160509e-09	1.000000e+00	7.730597e+01
