#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
76	3.040000e-03	-1.020000e-05	-1.933144e+04	1.933352e+04	9.854960e-02	9.857135e-02	1.886163e-05
77	3.080000e-03	-1.040000e-05	-1.971448e+04	1.968362e+04	1.024522e-01	1.024759e-01	2.084867e-05
78	3.120000e-03	-1.060000e-05	-2.006045e+04	2.009312e+04	1.064305e-01	1.064534e-01	1.992732e-05
79	3.160000e-03	-1.080000e-05	-2.046657e+04	2.047270e+04	1.104846e-01	1.105061e-01	1.864022e-05
80	3.200000e-03	-1.100000e-05	-2.084843e+04	2.081182e+04	1.146146e-01	1.146376e-01	2.008526e-05
81	3.240000e-03	-1.120000e-05	-2.121041e+04	2.123124e+04	1.188202e-01	1.188435e-01	2.032830e-05
82	3.280000e-03	-1.140000e-05	-2.159584e+04	2.160702e+04	1.231017e-01	1.231241e-01	1.950150e-05
83	3.320000e-03	-1.160000e-05	-2.197150e+04	2.196151e+04	1.274590e-01	1.274809e-01	1.894855e-05
84	3.360000e-03	-1.180000e-05	-2.237096e+04	2.235410e+04	1.318920e-01	1.319151e-01	2.023115e-05
85	3.400000e-03	-1.200000e-05	-2.272149e+04	2.274164e+04	1.364008e-01	1.364244e-01	2.055530e-05
86	3.440000e-03	-1.220000e-05	-2.310166e+04	2.311258e+04	1.409853e-01	1.410067e-01	1.842085e-05
87	3.480000e-03	-1.240000e-05	-2.351588e+04	2.348480e+04	1.456457e-01	1.456684e-01	1.978882e-05
88	3.520000e-03	-1.260000e-05	-2.385721e+04	2.386799e+04	1.503819e-01	1.504057e-01	2.083819e-05
89	3.560000e-03	-1.280000e-05	-2.424194e+04	2.425946e+04	1.551938e-01	1.552157e-01	1.897979e-05
90	3.600000e-03	-1.300000e-05	-2.463826e+04	2.462721e+04	1.600815e-01	1.601037e-01	1.926499e-05
91	3.640000e-03	-1.320000e-05	-2.500680e+04	2.499050e+04	1.650449e-01	1.650682e-01	2.026437e-05
92	3.680000e-03	-1.340000e-05	-2.538369e+04	2.540098e+04	1.700842e-01	1.701072e-01	2.008258e-05
93	3.720000e-03	-1.360000e-05	-2.575647e+04	2.576953e+04	1.751992e-01	1.752213e-01	1.906229e-05
94	3.760000e-03	-1.380000e-05	-2.615448e+04	2.612504e+04	1.803900e-01	1.804123e-01	1.939194e-05
95	3.800000e-03	-1.400000e-05	-2.652490e+04	2.653219e+04	1.856566e-01	1.856803e-01	2.068112e-05
96	3.840000e-03	-1.420000e-05	-2.688681e+04	2.690623e+04	1.909990e-01	1.910215e-01	1.949776e-05
