// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
114 112 173 611
114 173 38 611
19 601 18 485
1132 1916 1560 1314
1339 145 1898 2113
71 594 520 1373
1144 1065 1956 1346
115 59 199 953
902 904 886 1474
901 113 555 554
114 113 112 554
996 1048 1496 1739
1415 2070 1473 1149
555 952 636 513
1472 1743 2151 1731
1213 1300 1710 1249
640 651 1523 2109
1708 1998 1416 2040
894 897 893 1197
901 112 554 1417
1282 1339 1296 1373
1665 1195 2035 1517
861 718 2000 1686
520 594 582 1373
539 540 1287 1252
1291 360 1595 1068
15 17 16 1730
1417 1333 2257 1651
29 61 936 167
2182 1415 1229 1631
20 19 485 1110
545 640 2079 2109
41 85 1115 1282
495 38 36 37
87 215 161 1714
1722 1134 1565 1631
1222 197 2154 1110
1885 1243 1871 1395
1690 1293 1067 2075
572 627 505 1561
1339 145 1222 1373
1397 1888 2114 1731
1186 1772 1647 1760
930 941 1197 1880
1806 2240 1554 1420
497 633 1679 1797
479 632 1296 1797
70 601 18 163
601 19 18 163
1397 1788 1252 1977
1140 1396 1067 1636
1186 1450 1760 1537
40 85 233 1115
2001 1636 1186 1614
2129 1654 1787 1111
505 481 1137 1915
156 71 594 8
539 1570 1538 1252
197 1222 2154 2113
625 624 2220 1709
112 173 1914 1405
636 554 568 1417
1495 1219 2178 1096
1780 1336 2180 1261
1148 2134 1309 1729
126 54 125 1481
1070 1167 2123 1623
1882 2068 1134 2239
1393 1086 1611 1909
1408 1951 1469 2237
1440 1758 1902 2252
627 619 505 1561
1125 2223 1135 1850
2239 2107 1809 1975
1465 1195 1926 1431
2068 1232 1543 1944
2051 1266 1489 1198
699 1497 1953 1557
7 479 1296 1797
71 70 69 520
303 414 1857 1696
431 385 1792 1606
1758 1202 1640 1228
2126 1856 1924 1119
1089 1420 1407 1154
2068 1186 1944 1862
1530 1374 1907 1570
1585 2028 1857 1329
1287 1854 2001 2153
332 274 1275 1429
1475 1322 2092 1218
2042 1707 1210 1978
85 145 1898 1282
1179 2198 1753 1917
1581 1459 1161 1111
584 485 1222 1915
1296 1530 1084 1907
1485 1788 1538 1252
822 859 1664 1605
435 889 950 1190
1783 2146 1865 1547
717 1687 1385 1866
482 483 596 1137
1219 1072 2178 1096
1971 1102 1246 2044
1451 1833 1750 1578
204 5 160 1710
617 652 2234 1458
925 926 1552 2256
2166 1449 1849 1147
1838 1867 2058 2142
221 122 1391 1940
1673 1757 1285 1480
716 713 1259 1715
283 414 426 2201
1107 714 1498 1111
740 675 1107 1955
602 522 1908 1650
2031 1719 1203 1082
336 320 462 2086
1946 1465 2074 1253
1267 1529 2155 1580
1019 1018 2055 1463
948 898 2053 2226
840 1828 1205 1619
1818 1423 1138 2205
1230 1837 1590 1341
2135 1569 1776 1068
1423 2063 1851 1366
330 299 300 1422
241 372 421 1825
1574 1854 2152 1287
1527 2222 1929 1531
572 571 1555 2188
1180 1852 2236 1433
1743 1582 2151 1731
2113 1186 1772 1647
1446 1322 1918 1218
1796 1283 1853 2077
644 1137 2188 1375
728 758 2064 1200
84 2132 1383 1718
2056 1475 2092 1218
606 935 489 514
1556 925 1552 2256
867 748 866 2069
573 575 1617 1672
892 953 1556 1405
952 554 636 1417
129 199 60 1405
1246 1971 1454 1315
611 554 1914 1417
2055 1414 1109 2212
644 572 1561 2188
1854 2113 1186 1772
953 901 1417 1405
606 570 1920 2077
935 891 1853 2077
634 584 1574 1915
659 2220 1920 1555
1555 1540 1984 1411
1962 2131 1176 1594
1654 2044 1361 1459
953 912 892 1556
2220 659 1709 1555
2015 2182 1229 1667
481 483 1137 2153
1911 266 1203 2241
1132 1345 1337 1633
492 605 1268 1597
383 2157 1769 2193
912 953 1417 1405
1409 1714 2013 2006
735 734 2245 1742
1635 1284 1478 1206
2056 1607 1218 1211
1808 1607 1110 1915
280 2135 1153 1595
1934 821 1916 1314
173 129 37 1914
923 908 1190 1191
1098 1398 1355 1294
1570 1374 1299 2181
1530 1339 1084 1680
1788 1397 2159 1778
197 19 14 2154
1503 1054 1746 1399
1299 1140 1067 2181
147 1239 2046 2038
692 871 1388 1871
1795 1388 1601 1515
1551 52 1211 1824
2096 428 1933 1384
1838 1867 1893 2058
1222 1339 1373 2152
1775 1409 2206 1827
914 913 1796 2077
1417 952 1796 1853
1498 1849 1147 1185
860 778 743 2231
1655 2145 1387 1152
1963 1637 1215 2017
