Time [s],u [mm],Stress [MPa],Kinetic Energy [mJ],Energy Balance Error [%],Number of Iterations
0.068999998271,0.068499997258,0.893030761733333,0.00042894732906,0.282035526231729,64
0.069999992847,0.069499999285,0.874900472,0.00044149206951,0.285525111860839,64
0.070999994874,0.070500001311,0.8574712728,0.00044956721831,0.289003418978155,64
0.071999996901,0.071500003338,0.8406135254,0.00045301500359,0.29245440033491,64
0.072999998927,0.072499997914,0.824440999333333,0.00045422534458,0.295878994851235,64
0.073999993503,0.07349999994,0.8087943522,0.00045431105536,0.299255938916543,64
0.07499999553,0.074500001967,0.793821451833333,0.00045522433356,0.302600822990767,64
0.075999997556,0.075499996543,0.779490315766667,0.0004551220627,0.305927777942663,63
0.076999999583,0.076499998569,0.765551106766667,0.00045446207514,0.309236611599462,63
0.077999994159,0.077500000596,0.752255045566667,0.00045482555288,0.312522626986386,63
0.078999996185,0.078500002623,0.739402425133333,0.0004550635349,0.315775962555712,63
0.079999998212,0.079499997199,0.727163167333333,0.00045445837895,0.319025078283325,62
0.080999992788,0.080499999225,0.7149757487,0.00045395526104,0.322243058335697,63
0.081999994814,0.081500001252,0.703498128266667,0.00045365159167,0.325391729785779,62
0.082999996841,0.082500003278,0.6923194987,0.00045268860413,0.328544723640188,62
0.083999998868,0.083499997854,0.681550415033333,0.00045214864076,0.331659882943749,62
0.084999993443,0.084499999881,0.6710998535,0.00045170611702,0.33473631362165,62
0.08599999547,0.085500001907,0.6612134603,0.00045178123401,0.337798235087346,61
0.086999997497,0.086499996483,0.6513523763,0.00044932673336,0.34084327625823,61
0.087999999523,0.08749999851,0.642004597966667,0.00044957819046,0.343836241802103,61
0.088999994099,0.088500000536,0.6329083659,0.00045002417755,0.34682165896174,61
0.089999996126,0.089500002563,0.624217041,0.00044964332483,0.349795134482497,60
0.090999998152,0.090499997139,0.615709106433333,0.00044872518629,0.352771614884866,60
0.091999992728,0.091499999166,0.607263671866667,0.00044865717064,0.355684136533694,61
0.092999994755,0.092500001192,0.599413940433333,0.00044966491987,0.358544584044919,60
0.093999996781,0.093500003219,0.591626342766667,0.00044972318574,0.361434021347991,60
0.094999998808,0.094499997795,0.584012858066667,0.0004495124449,0.364287162852553,60
0.095999993384,0.095499999821,0.576666625966667,0.00044933441677,0.367095566986969,60
0.09699999541,0.096500001848,0.569653523766667,0.00044861022616,0.36988984384149,59
0.097999997437,0.097499996424,0.562767374666667,0.00044766245992,0.372694910843644,59
0.098999999464,0.09849999845,0.556079060866667,0.00044711073861,0.375473712551663,59
0.09999999404,0.099500000477,0.5494132487,0.00044768783846,0.378187544580489,59
